sp_id	stco	latitude	longitude
450111632	42065	41.090196	-78.884381
450110845	42065	41.167228	-79.085844
450057407	42063	40.7618373	-78.8775199
450132458	42065	40.949353	-78.968361
450063600	25027	0.0000000	0.0000000
450066817	42063	40.6215091	-79.1521905
450151186	42063	40.702717	-79.100597
450108468	42065	40.947169	-78.92369
450129160	42065	41.167313	-79.085924
450120306	42053	41.472626	-79.121872
450139177	42065	40.958001	-79.064141
450102519	42003	40.46877	-79.917847
450145390	42065	41.163204	-79.080904
450150577	42065	40.949956	-78.978787
450147805	42065	41.001378	-78.963453
450134109	42031	41.230116	-79.532967
450110702	42065	41.250829	-78.803185
450054184	42033	41.1165292	-78.7356095
450067304	25025	0.0000000	0.0000000
450067582	42065	40.9430657	-78.9847580
450054192	42033	41.1463692	-78.7857048
450110701	42065	41.25202	-78.808575
450149079	42065	41.148979	-79.027283
450066968	23015	0.0000000	0.0000000
450132231	42065	41.110998	-78.893581
450150578	42065	40.964355	-78.979259
