sp_id	latitude	longitude
514265741	41.1902339	-79.3676738
514402646	41.4317118	-78.7416280
514270578	41.0975319	-78.8622880
514265933	41.1901449	-79.3970548
514268461	40.9125519	-79.0004780
513935092	40.6578320	-79.3205079
513933820	40.6066790	-79.1879949
514567179	42.1271717	-80.0788575
514271525	41.1336318	-78.7614380
514267835	40.9952349	-78.9965130
517693097	44.2614918	-88.4102748
514271732	40.9930089	-78.5116791
514269870	41.1142459	-78.7756840
513500049	40.1041361	-79.5849408
514268315	41.2304618	-79.0662979
514269982	41.1186009	-78.7623690
514269367	40.9523319	-78.9617180
513937040	40.8151919	-79.5186478
513932845	40.6168240	-79.1593419
514265802	41.2106539	-79.3684168
514268778	40.9189439	-78.9496450
513931006	40.3527520	-78.9378080
514270472	41.1448418	-78.8000380
513914691	40.7847719	-77.8470083
514269296	40.9336519	-78.9722080
514268536	40.9408519	-78.9931880
514270241	41.2471718	-78.7871080
514268332	41.1670519	-79.0970679
514271048	41.1205778	-78.7463430
514269370	40.9558319	-78.9529380
514265965	41.2001319	-79.3899648
513929415	40.6435489	-78.8456610
514268452	40.9461519	-78.9941980
514265825	41.2156049	-79.3841738
513919914	40.6762319	-78.2362482
513991798	40.4395020	-80.0042877
514399968	41.4280188	-78.5325311
514267791	41.1530679	-79.0966439
514268255	41.1738119	-79.0989879
513937897	40.8156319	-79.5656178
513575200	40.2495019	-76.6789587
514266314	41.2002619	-79.3715578
514268030	41.1685819	-79.0963679
513936336	40.8136719	-79.5205218
514269092	41.1252819	-78.9712780
514270320	41.1045719	-78.7717380
514269079	41.2181018	-78.9698979
514267897	40.9722569	-79.1038489
514270000	41.1206948	-78.7629480
514271139	41.1142818	-78.7362600
514271238	41.1287888	-78.7453880
514269096	41.2029818	-78.9770479
514269718	41.2483308	-78.8087410
514269882	41.1177489	-78.7633490
514270880	41.1174268	-78.7316070
505890102	39.7316525	-86.2162359
514269607	41.1825618	-78.9002480
514269645	41.2480258	-78.7927740
514270759	41.1184948	-78.7622550
514269228	40.9382719	-78.9619080
513577163	40.2743819	-76.6586487
514270445	41.1142519	-78.7724580
513928352	40.8122846	-78.7911939
514265854	41.2121359	-79.3942398
514272643	41.0293559	-78.4121951
514271407	41.1141219	-78.7375180
513925989	40.4744520	-78.4237382
514266652	41.2068829	-79.3636178
514266777	41.0064839	-79.3140459
514273565	41.0226219	-78.3991281
514268964	41.1659128	-78.8947650
514269782	41.1222598	-78.7726940
514269088	41.1160019	-78.9740780
513931460	40.6229010	-79.1529589
513551849	40.2650739	-76.8856257
514269942	41.1110419	-78.7772460
513927056	40.6296019	-78.6500081
514270993	41.1577318	-78.7159570
513516271	40.2861120	-78.8358181
512905149	34.9230432	-81.0230577
514268936	41.1834868	-78.8932210
514271093	41.1286568	-78.7410930
514266445	41.1978319	-79.3908578
511583437	40.8349617	-74.0192295
514266295	41.2154119	-79.3832778
514271441	41.1487818	-78.7568380
514268549	40.9636719	-79.0078880
514269192	40.9729219	-78.9615980
514265767	41.1968259	-79.3908608
514270520	41.1413218	-78.8040980
514270356	41.1079419	-78.7775780
514270289	41.1245718	-78.7659580
513560322	40.2672019	-76.8275087
514268389	41.0858619	-79.1130079
514402408	41.4224218	-78.7351580
514272539	41.4006618	-78.5592681
514270577	41.1580318	-78.8649380
514253859	40.9737859	-80.3745545
514269538	41.1049419	-78.8927380
514269474	41.2229118	-78.9496080
514269105	41.2058018	-78.9675179
514270364	41.1247818	-78.7733880
514267009	41.2177249	-79.2985548
514269175	40.9375419	-78.9208180
514269344	40.9426819	-78.8959380
509565710	43.8653822	-93.3678534
513916193	40.7648029	-77.8808553
514268433	40.9227719	-79.0832879
514271494	41.1234518	-78.7510580
513938619	40.8152169	-79.5664258
514269272	40.9450719	-78.9693880
514269208	40.9433119	-78.9708480
514271486	41.1162718	-78.7351880
514270340	41.1149119	-78.7751480
514268151	41.1643919	-79.0688379
514270219	41.2507418	-78.7976480
514271482	41.0964719	-78.7440080
514270991	41.1194138	-78.7597470
514268284	41.1605519	-79.0781779
514268671	41.2118848	-78.9588509
512525554	43.0788304	-76.1087987
514273455	41.0414719	-78.4406081
514268896	41.0376699	-78.9476610
514401628	41.4259518	-78.5706481
514266656	41.2045139	-79.3357938
514270795	41.1577318	-78.7159570
514270154	41.0513555	-78.8187847
513927329	40.7774719	-78.7269971
514271533	41.1277618	-78.7145880
514266188	41.1171449	-79.4461708
514270348	41.1225618	-78.7693080
514270566	41.0923219	-78.8541480
513933089	40.6032320	-79.1623379
514256916	40.9822039	-80.3068065
514269814	41.1177279	-78.7672150
514269465	41.0939119	-78.8860680
513925223	40.4877540	-78.4214362
514270188	41.2442418	-78.7791680
514266955	41.0020999	-79.3273028
514401482	41.4244918	-78.5598581
514271531	41.1141218	-78.7334280
514269431	40.9423019	-78.9785680
514269871	41.1181979	-78.7777570
509564698	43.9481422	-93.2210034
514265567	41.1475319	-79.5224478
514272140	40.9909019	-78.4773181
514268351	41.1631419	-79.0961979
511433756	40.7491967	-73.9754996
514268272	41.1562819	-79.0801379
514407571	41.8621218	-79.8453776
513931388	40.6403070	-79.1336339
514267521	41.0043319	-79.3304778
513802738	40.1210059	-75.0351223
514271519	41.1327518	-78.7616780
513500959	40.3027750	-79.5610078
514269245	40.9442319	-78.9642380
514273311	41.0217619	-78.4355981
514270659	41.1253678	-78.7560650
514268638	41.0013159	-78.9635050
514267664	41.1438109	-79.0891939
514269361	40.9343719	-78.9833780
514271458	41.1103919	-78.7610780
514269751	41.2472528	-78.7886280
514269218	40.9603519	-78.9602580
514271375	41.2274418	-78.7324180
513930479	40.7539719	-78.9838360
514269441	40.9637019	-78.9677880
514269604	41.0386519	-78.9485280
514269301	40.9508419	-78.9717280
515946881	32.8151343	-96.9009834
514273450	41.0116319	-78.4469081
514266370	41.2078119	-79.3920878
514266647	41.2032829	-79.3514908
514272930	41.0224019	-78.4144061
513557269	40.2635719	-76.8492087
514271440	41.2053418	-78.6923380
514270884	41.1577318	-78.7159570
514270860	41.1227798	-78.7495110
514269838	41.1230958	-78.7640030
514267725	41.1611289	-79.0768499
