sp_id	sp_gq_id	age	sex
940001069	450040313	86	F
940001070	450040313	77	F
940001071	450040313	70	F
940001072	450040313	84	F
940001073	450040313	90	F
940001074	450040313	75	F
940001075	450040313	89	F
940001076	450040313	98	F
940001077	450040313	86	F
940001087	450040313	90	F
940001086	450040313	89	F
940001085	450040313	90	F
940001078	450040313	82	F
940001079	450040313	90	F
940001080	450040313	84	F
940001081	450040313	90	F
940666231	450040313	86	M
939328277	450040313	61	F
939328278	450040313	56	F
939328279	450040313	48	F
940666232	450040313	75	M
940666233	450040313	99	M
940666234	450040313	71	M
940666235	450040313	70	M
940666236	450040313	90	M
940666237	450040313	79	M
940666238	450040313	78	M
940666239	450040313	87	M
940666240	450040313	76	M
940666241	450040313	77	M
940666242	450040313	89	M
940666243	450040313	78	M
940666244	450040313	86	M
940666245	450040313	66	M
940001092	450040313	81	F
940001091	450040313	85	F
940001090	450040313	84	F
940001089	450040313	82	F
940001088	450040313	83	F
940001068	450040313	80	F
940001084	450040313	77	F
940001083	450040313	87	F
940001082	450040313	73	F
940666230	450040313	85	M
939328276	450040313	58	F
939295741	450047487	25	F
940257344	450047487	87	F
940771710	450047487	79	M
940771709	450047487	76	M
940771708	450047487	84	M
940771707	450047487	78	M
940771706	450047487	84	M
939299470	450047487	63	F
939299471	450047487	26	F
940257345	450047487	78	F
940257346	450047487	78	F
940257348	450047487	85	F
940257347	450047487	94	F
940771711	450047487	86	M
940771712	450047487	96	M
940771713	450047487	72	M
940417613	450047487	61	M
940417614	450047487	60	M
939614818	450030495	79	F
939378701	450030495	29	F
939378700	450030495	59	F
939378699	450030495	63	F
939378698	450030495	64	F
939614863	450030495	89	F
939614862	450030495	75	F
939614861	450030495	92	F
939614860	450030495	89	F
939614859	450030495	85	F
939614858	450030495	75	F
939614857	450030495	84	F
939614856	450030495	92	F
939614855	450030495	87	F
939614854	450030495	90	F
939614853	450030495	84	F
939614852	450030495	74	F
939614851	450030495	91	F
939614850	450030495	93	F
939614849	450030495	83	F
939614848	450030495	77	F
939614847	450030495	81	F
939614846	450030495	78	F
939614845	450030495	78	F
939614844	450030495	85	F
939614843	450030495	88	F
939614842	450030495	71	F
939614841	450030495	73	F
939614840	450030495	84	F
939614839	450030495	99	F
939614838	450030495	88	F
939614837	450030495	93	F
939614836	450030495	65	F
939614835	450030495	78	F
939614834	450030495	102	F
939614833	450030495	93	F
939614832	450030495	92	F
939614831	450030495	90	F
939614830	450030495	82	F
939614829	450030495	89	F
939614828	450030495	85	F
939614827	450030495	87	F
939614826	450030495	84	F
939614825	450030495	90	F
939614824	450030495	82	F
939614823	450030495	88	F
939614822	450030495	86	F
939614821	450030495	87	F
939614820	450030495	85	F
939614819	450030495	81	F
939614817	450030495	78	F
939614816	450030495	70	F
939614815	450030495	88	F
939614814	450030495	85	F
939614813	450030495	83	F
939614812	450030495	81	F
939614811	450030495	79	F
939614810	450030495	71	F
939614809	450030495	79	F
939614808	450030495	86	F
939614807	450030495	81	F
939614806	450030495	76	F
939614805	450030495	76	F
939614804	450030495	83	F
939614803	450030495	82	F
939614802	450030495	90	F
939614800	450030495	86	F
939614799	450030495	100	F
939614798	450030495	91	F
939614797	450030495	86	F
939614796	450030495	88	F
939614795	450030495	75	F
939614794	450030495	97	F
939614793	450030495	73	F
939614792	450030495	101	F
939614791	450030495	90	F
939614790	450030495	85	F
939614789	450030495	89	F
939614788	450030495	89	F
939614787	450030495	90	F
939614786	450030495	101	F
939614785	450030495	90	F
939614784	450030495	93	F
939614783	450030495	72	F
939614782	450030495	88	F
939614781	450030495	88	F
939614780	450030495	100	F
939614779	450030495	78	F
939614778	450030495	89	F
939614777	450030495	95	F
939614776	450030495	83	F
939614775	450030495	85	F
939614774	450030495	79	F
939614773	450030495	81	F
939614772	450030495	90	F
939614771	450030495	77	F
939614770	450030495	103	F
939614769	450030495	79	F
939614768	450030495	84	F
939614767	450030495	87	F
939614766	450030495	72	F
939614765	450030495	99	F
939614764	450030495	97	F
939614763	450030495	85	F
939614762	450030495	65	F
939614761	450030495	90	F
939614760	450030495	78	F
939614759	450030495	69	F
939614758	450030495	105	F
939614757	450030495	102	F
939614756	450030495	81	F
939614755	450030495	88	F
939614754	450030495	76	F
939614753	450030495	87	F
939614752	450030495	88	F
939614801	450030495	74	F
940515020	450030495	80	M
940515019	450030495	91	M
940515018	450030495	81	M
940515017	450030495	85	M
940515016	450030495	78	M
940515015	450030495	96	M
940515014	450030495	75	M
940515013	450030495	83	M
940515012	450030495	83	M
940515011	450030495	80	M
940515010	450030495	82	M
940515009	450030495	79	M
940515008	450030495	89	M
940515007	450030495	83	M
940515006	450030495	89	M
940515005	450030495	81	M
940515004	450030495	78	M
940515003	450030495	85	M
940515002	450030495	85	M
940515001	450030495	76	M
940515000	450030495	80	M
940514999	450030495	79	M
940514998	450030495	69	M
940514997	450030495	65	M
940514996	450030495	69	M
939614952	450030496	77	F
939614916	450030496	87	F
939614917	450030496	88	F
939614918	450030496	77	F
939614919	450030496	93	F
939614920	450030496	89	F
939614921	450030496	76	F
939614922	450030496	72	F
939614923	450030496	68	F
939614924	450030496	85	F
939614925	450030496	76	F
939614926	450030496	80	F
939614927	450030496	86	F
939614928	450030496	86	F
939614929	450030496	70	F
939614930	450030496	91	F
939614931	450030496	97	F
939614932	450030496	84	F
939614933	450030496	83	F
939614934	450030496	80	F
939614935	450030496	86	F
939614936	450030496	79	F
939614937	450030496	87	F
939614938	450030496	79	F
939614939	450030496	78	F
939614940	450030496	97	F
939614941	450030496	90	F
939614942	450030496	85	F
939614943	450030496	99	F
939614944	450030496	88	F
939614945	450030496	69	F
939614946	450030496	77	F
939614947	450030496	65	F
939614948	450030496	76	F
940515028	450030496	85	M
940515027	450030496	92	M
939614949	450030496	94	F
939614950	450030496	76	F
939614951	450030496	85	F
939614953	450030496	95	F
939614954	450030496	87	F
939614955	450030496	77	F
939614956	450030496	77	F
940515026	450030496	72	M
940515025	450030496	100	M
