4889
70406	 17  46  42  34   0   4  43   8  27  47  59  61 
70407	 17  46  42  34   0   4  11   8  27  45  59  61 
70404	 25  46  26  34   0   4  43   8  11  45  59  61 
70405	 17  46  42  34   0   4  43   8  11  45  59  61 
70402	 17  46  26  32   0   4  27   9  27  13  11  57 
70403	 17  46  26  34   1   4  27   8  59  45  59  61 
70400	 17  46  42  34   0   4  43   8  27  29  59  61 
70414	 17  46  42  34   0   6  43   8  27  45  59  61 
70415	 17  46  26  38   0   4  43   8  27  45  59  61 
70412	 17  46  42  34   0   4  47   8  27  45  59  61 
70410	 17  34  42  34   0   4  43   8  27  45  59  61 
70411	 17  46  42  34   0   4  43   8  31  45  59  61 
70408	 25  46  26  34   8   4  43   8  27  45  59  61 
70409	 25  44  42  34   0   4  43   8  27  45  59  61 
70423	 17  46  42  34  48   4  43   8  27  37  59  61 
70422	 17  46  42  34   0   4  43  11  27  45  59  61 
70420	 17  44  42  34   0   4  43   0  27  45  59  61 
70419	 17  34  26  34   0   4  27   8  27  45  59  61 
70418	 17  46  42  34   0   4  43   8  27  45  59  63 
70417	 17  46  26  32   0   4  27   8  27  13   9  61 
70416	 17  46  26  32   0   4  26   8  27  13  11  61 
70431	 17  46  42  34   0   4  43   8  59  45  59  61 
70430	 17  46  42  34   0   4  41   8  27  45  43  61 
70428	 17  46  42  46   0   4  43   8  27  45  59  61 
70427	 17  30  42  34   0   4  43   8  27  45  43  61 
70426	 17  46  42  38   0   4  43   8  27  45  43  61 
70425	 17  46  26  34   0   4  43   8  27  45  58  61 
70424	 17  46  42  34   0   4  43   8  27  41  59  61 
70436	 17  46  42  34   1   4  43   8  27  45  59  61 
70437	 17  46  26  34   3   4  27   8  27  45  11  61 
70438	 17  46  34  34   0   4  43   8  27  45  43  61 
70434	 17  46  26  32   0   4  27   8  27  29  11  61 
70435	 17  46  42  34  48   4  43   8  27  45  43  61 
70444	 17  46  42  34   0   4  43   8  27  45  43  45 
70445	 17  46  42  34   0   4  43   8  31  45  59  61 
70446	 29  46  26  34   1   4  27   8  27  45  59  61 
70447	 17  42  42  34   0   4  43   8  27  45  43  61 
70440	 17  46  42  34  48   4  43   8  27  45  43  61 
70441	 17  42  26  34   0   4  43   8  27  45  59  61 
70443	 17  44  42  34   0   6  43   8  27  45  59  61 
70452	 17  46  42  34   0   4  43   8  25  45  43  61 
70455	 49  46  42  34   0   4  43   8  27  45  43  61 
70449	 17  46  42  34   0   4  43   4  27  45  43  61 
70448	 17  46  42  34   0   7  43   8  27  45  59  61 
70450	 17  47  26  34   0   4  43   8  27  45  59  61 
70461	 17  46  42  34   0   4  43   8  27  33  43  61 
70460	 17  46  26  34   0   4  27   8  27  44  11  61 
70463	 17  46  26  34   0   4  43   8  27  45  55  61 
70462	 17  46  42  46   0   4  43   8  27  45  43  61 
70457	 17  46  42  34   0   4  43   8  27  45  59  60 
70456	 49  46  26  34   0   4  27   8  27  45  10  61 
70459	 17  46  42  34   0   4  47   8  27  45  59  61 
70458	 49  46  25  34   0   4  27   8  27  45  11  61 
70466	 17  46  42  34   0   4  43   8  26  45  59  61 
70467	 17  46  40  34   0   4  27   8  27  45  59  61 
70464	 17  46  42  50   0   4  43   8  27  45  43  61 
70465	 17  46  42  42   0   4  43   8  27  45  43  61 
70470	 17  30  42  50   0   4  43   8  27  45  43  61 
70471	 49  46  26  34   0   4  27   8  27  45   7  61 
70468	 17  46  42  34   0   4  43   8  11  45  43  61 
70469	 49  46  42  34   0   4  43   8  27  45  43  61 
70473	 17  46  40  34   0   4  43   8  27  45  43  61 
70479	 17  46  42  34   0   4  43  12  27  45  59  61 
70476	 17  46  42  34   0   4  43   8  27  45  35  61 
70483	 17  46  42  34   0   4  43   4  27  45  59  61 
70482	 17  46  42  34   0   4  43   8  25  45  43  61 
70481	 17  46  26  34   0   4  43   8  25  45  59  61 
70487	 17  46  42  34  48   4  43   8  27  45  43  61 
70486	 17  46  42  46   0   4  43   8  27  45  43  61 
70485	 17  46  42  34   0   4  43   8  27  37  59  60 
70495	 17  46  42  34   0   4  43  12  27  45  43  61 
70494	 17  46  42  34   0   4  43   8  27  44  59  61 
70492	 17  46  26  34   0   4  19   8  27  45  11  61 
70496	 17  46  42  34  48   4  43   8  27  45  59  61 
70497	 17  30  26  34   0   4  43   8  27  45  59  61 
70500	 17  46  26  32   0   4  27   8  27  13  43  61 
70501	 17  62  42  34   0   4  43   8  27  45  59  61 
70504	 17  46  42  34   0   4  43   8  27  45  43  45 
70505	 17  46  42  34   8   4  43   8  27  45  59  61 
70506	 17  46  42  34   0   4  11   8  27  37  59  61 
70508	 17  46  42  46   0   4  43   8  27  45  43  61 
70509	 33  46  42  34   0   4  43   8  27  45  43  61 
70510	 19  46  42  34   0   4  43   8  27  45  43  61 
70511	 49  46  42  34   0   4  43   8  27  45  59  61 
70513	 17  46  42  34   0   4  43   0  27  45  59  61 
70512	 17  46  42  34   0   4  43   8  25  45  59  61 
70515	 17  46  42  50   0   4  43   8  27  37  59  61 
70514	 17  46  26  34   8   4  43   8  27  45  59  61 
70516	 17  46  42  32   0   4  43   8  27  45  43  61 
70519	 17  46  42  34   0   4  40   8  27  45  43  61 
70518	 17  47  42  34   0   4  43   8  27  45  59  61 
70521	 17  46  42  34   0   4  43   8  27  45  59  45 
70520	 17  46  42  34   0   4  43   8  27  33  43  61 
70522	 17  46  26  34   0   4  27   8  27  61  11  61 
70524	 17  46  42  34   0   4  43   8  27  37  59  45 
70527	 17  46  42  34   4   4  43   8  27  37  59  61 
70526	 17  46  42  34  48   4  43   8  27  37  55  61 
70543	 17  46  42  34   0   4  43   8  27  37  58  61 
70542	 49  46  42  42   0   4  43   8  27  45  59  61 
70541	 17  46  42  34   0   4  41   8  27  45  43  61 
70540	 17  46  26  32   0   4  27   8  27  13  27  61 
70539	 17  46  42  34   0   4  40   8  27  45  43  61 
70538	 17  46  26  34   0   4  43   8  27  45  63  61 
70537	 17  46  26  32   4   4  27   8  27  13  11  61 
70536	 17  46  42  34   0   4  43   8  27  13  43  61 
70535	 17  46  26  34   1   4  27   8  43  45  59  61 
70533	 17  46  42  34   0   4  43   8  27  29  43  61 
70532	 17  46  42  34   0   4  43   8  27  45  43  57 
70531	 17  46  42  34   0   4  43   8  27  45  57  61 
70530	 17  46  42  34   0   4  43   8  27  41  43  61 
70529	 17  46  42  34   0   4  43   8  27  37  43  61 
70528	 17  46  42  34   0   4  43  11  27  45  59  61 
70558	 17  46  26  32   0   4  27  40  27  13  11  61 
70556	 17  46  42  34   0   4  43   8  27  45  42  61 
70557	 17  46  42  34   0   4  43   8  27  61  43  61 
70554	 17  46  42  42   0   4  27   8  27  45  59  61 
70555	 17  46  42  34   0   4  43   8  27  45  43  29 
70552	 17  46  26  34   8   4  27   8  26  45  11  61 
70550	 17  46  42  34   0   4  27   8  27  45  59  61 
70551	 17  46  42  34   0   4  47   8  27  45  59  61 
70548	 17  46  42  34   0   4  43   8  31  45  59  61 
70546	 17  34  42  34   0   4  43   8  27  45  43  61 
70547	 17  46  26  32   0   4  27   8  27  13  11  45 
70545	 17  46  42  34   0   4  43   8  27  29  43  61 
70573	 17  46  42  34   0   8  43   8  27  45  43  61 
70572	 17  46  42  34   0   4  43   8  27  45  63  61 
70575	 17  46  22  34   0   4  43   8  27  45  59  61 
70574	 17  46  42  34   0   4  43   8  27  45  43  63 
70569	 17  46  42  34   1   4  43   8  27  45  59  61 
