sp_id	gq_type	stcotrbg	persons	latitude	longitude
450003399	C	420030103002	3256	40.4374960	-79.9930460
450003400	C	420030201001	478	40.4375210	-79.9994520
450003401	C	420030201001	479	40.4385256	-80.0014617
450003402	C	420039822001	4475	40.4445020	-79.9546920
450003403	C	420030809001	55	40.4623320	-79.9455000
450003404	C	420031401003	527	40.4446160	-79.9429140
450003405	C	420031402001	258	40.4484320	-79.9260830
450003406	C	420032602002	13	40.4844085	-80.0158246
450003523	C	420030402002	1177	40.4398510	-79.9639267
450003904	C	420031113004	30	40.4671900	-79.9209000
450003905	C	420034135004	354	40.5697773	-80.0119770
450003906	C	420034511023	1157	40.5210883	-80.2117850
450004554	C	420035620003	70	40.4481874	-79.9558045
450004555	C	420030404002	313	40.4482650	-79.9499687
450004556	C	420030405001	506	40.4406805	-79.9542332
450004557	C	420030405002	230	40.4382299	-79.9582160
450004558	C	420035620001	12	40.4509240	-79.9510070
450004559	C	420030510002	799	40.4459973	-79.9651192
450004560	C	420030706002	3	40.4519412	-79.9274584
450004561	C	420030709003	130	40.4489296	-79.9431349
450004562	C	420030709004	165	40.4525514	-79.9436227
450004563	C	420030809002	2	40.4636514	-79.9429628
450004564	C	420031102004	8	40.4725674	-79.9227477
450004565	C	420039818001	201	40.4805727	-79.9021492
450004566	C	420031401001	145	40.4442956	-79.9352599
450004567	C	420031401002	743	40.4398595	-79.9313398
450004568	C	420031401004	1508	40.4461764	-79.9428625
450004569	C	420031406002	6	40.4448737	-79.8972215
450004570	C	420031609001	101	40.4295582	-79.9689512
450004571	C	420035628001	25	40.4199028	-80.0709880
450004572	C	420034511012	41	40.5292868	-80.2132449
450004573	C	420034511052	4	40.5080068	-80.2297330
450004574	C	420035030022	190	40.3488690	-79.8247178
450004575	C	420035215002	8	40.4476082	-79.7424446
450008429	P	420030103001	2340	40.4345346	-79.9934768
450008430	P	420039809001	1795	40.4705920	-80.0412735
450010317	P	420030409001	24	40.4367686	-79.9704390
450010318	P	420030409001	23	40.4384664	-79.9624948
450021803	P	420030103001	254	40.4341506	-79.9847430
450021804	P	420030501003	2	40.4459724	-79.9776953
450021805	P	420030709001	30	40.4544392	-79.9379456
450021806	P	420030807001	6	40.4627928	-79.9335930
450021807	P	420030807001	20	40.4627928	-79.9335930
450021808	P	420030807002	10	40.4592965	-79.9351049
450021809	P	420031102004	5	40.4725674	-79.9227477
450021810	P	420035619001	75	40.4740878	-79.8963098
450021811	P	420035619001	18	40.4740878	-79.8963098
450021812	P	420031807003	10	40.4228314	-80.0010209
450021813	P	420035627002	3	40.4527421	-80.0067308
450021814	P	420035627002	15	40.4527421	-80.0067308
450021815	P	420032503001	2	40.4584905	-80.0120067
450021816	P	420032507001	8	40.4599421	-80.0218658
450021817	P	420032614004	1	40.4687671	-80.0062115
450021818	P	420032614004	4	40.4687671	-80.0062115
450021819	P	420032615002	12	40.4699239	-80.0194198
450021820	P	420032615002	5	40.4699239	-80.0194198
450021821	P	420032701001	6	40.4845890	-80.0396192
450021822	P	420032701002	9	40.4823978	-80.0463600
450021823	P	420039809001	2	40.4665415	-80.0419473
450021824	P	420032904002	9	40.3877404	-79.9814709
450021825	P	420034070023	22	40.6167313	-79.8837981
450021826	P	420034070023	13	40.6167313	-79.8837981
450021827	P	420034350002	53	40.5092712	-80.0979731
450021828	P	420034350002	15	40.5092712	-80.0979731
450021829	P	420034370002	5	40.5521550	-80.1072714
450021830	P	420034370002	3	40.5521550	-80.1072714
450021831	P	420034513001	5	40.4730196	-80.1913585
450021832	P	420034571002	28	40.3592371	-80.1123526
450021833	P	420034592013	45	40.4407560	-80.1351320
