sp_id	stco	latitude	longitude
450140545	42003	40.572011	-80.028754
450105681	42003	40.530514	-80.220255
450149314	42003	40.439425	-80.053035
450053857	42003	40.4567235	-79.9232768
450149281	42003	40.468286	-79.962867
450143883	42003	40.362159	-79.864486
450063991	42003	40.3714129	-80.0833145
450063600	25027	0.0000000	0.0000000
450070062	42003	40.5150715	-80.2169774
450114199	42003	40.378624	-80.110997
450074863	42003	40.3714300	-79.8523400
450110131	42003	40.315095	-80.098836
450131157	42003	40.57834	-80.072185
450064724	42019	40.7799634	-79.9371959
450116523	42003	40.508345	-80.163047
450110430	42003	40.37425	-79.975566
450066852	42003	40.3273067	-79.8269821
450056496	42003	40.4029543	-79.8381809
450112506	42003	40.428239	-80.095631
450113418	42003	40.273544	-79.82696
450122585	42003	40.611682	-79.740253
450074499	42003	40.5745257	-80.0087304
450129446	42003	40.618188	-79.728338
450149304	42003	40.446792	-79.981895
450063200	42003	40.5388765	-80.1832888
450049968	42003	40.5829758	-80.0793025
450102523	42003	40.465533	-79.934641
450068086	42003	40.4647184	-79.8407011
450151583	42003	40.474686	-79.981937
450074460	42003	40.4257238	-79.8809187
450149313	42003	40.398001	-79.989084
450146231	42003	40.472646	-79.712825
450108728	42003	40.324523	-80.031231
450140302	42003	40.330588	-79.969886
450149327	42003	40.436285	-80.018358
450149288	42003	40.458015	-80.075508
450123912	42003	40.517303	-79.869527
450149317	42003	40.417013	-80.020449
450149285	42003	40.394882	-80.024949
450149296	42003	40.426197	-79.943403
450086848	42003	40.610441	-80.105265
450113261	42003	40.49088	-79.780646
450123763	42003	40.354663	-80.06425
450055850	42019	40.6961745	-80.1092250
450110212	42003	40.638838	-80.081474
450137536	42003	40.365987	-79.783965
450120864	42003	40.65769	-79.96114
450140452	42003	40.550046	-80.004724
450149633	42003	40.508254	-79.773995
450113210	42003	40.34226	-79.85614
450062079	42003	40.5464844	-80.2419547
450142731	42003	40.428523	-79.757825
450149282	42003	40.467383	-79.963383
450149324	42003	40.40234	-80.009928
450087380	42003	40.45425	-80.106683
450146905	42003	40.531661	-80.1692
450125389	42003	40.311762	-80.064508
450063262	42007	40.6439065	-80.1700603
450126405	42003	40.602367	-79.76079
450067891	42003	40.3622782	-80.0295525
450102516	42003	40.417125	-80.020406
450051069	42003	40.3799827	-79.8888490
450067154	42003	40.2918200	-80.0026200
450111317	42003	40.548026	-79.943554
450067740	42003	40.6262522	-80.0561964
450086129	42003	40.444212	-79.996689
450143076	42003	40.376388	-80.050603
450071567	42003	40.5304765	-80.0104782
450049316	42003	40.5978990	-79.9675864
450142449	42003	40.5097	-80.222883
450056621	42003	40.4490972	-79.7387090
450149284	42003	40.415647	-80.02084
450049493	42003	40.4071079	-79.9044810
450149320	42003	40.442405	-80.040349
450131007	42003	40.340402	-80.041998
450143885	42003	40.328468	-79.931723
450149255	42003	40.404309	-79.779572
450149315	42003	40.443212	-79.956707
450127703	42003	40.630295	-79.946522
450149322	42003	40.480538	-79.934379
450107376	42003	40.530398	-80.07707
450065472	42003	40.5454686	-80.2371222
450153030	42003	40.53888	-79.98235
450144546	42003	40.605004	-80.05099
450107860	42003	40.404818	-79.907575
450068129	42003	40.4412821	-79.7717860
450079824	42129	40.306955	-79.392941
450110429	42003	40.37425	-79.975566
450132246	42003	40.296695	-79.933961
450074952	42003	40.4639270	-79.9421985
450078733	42003	40.44265	-79.999317
450066931	42003	40.5217565	-79.8794891
450153449	42003	40.526357	-80.002709
450050308	42003	40.4231300	-80.0694600
450149309	42003	40.481709	-80.002685
450112545	42003	40.401602	-80.082985
450057373	42003	40.3441194	-80.0333898
450144545	42003	40.571955	-80.031351
450063941	42007	40.5846688	-80.2588461
450057521	42003	40.3592345	-80.1147732
450061148	42129	40.5689989	-79.7625580
450073594	42003	40.4514804	-79.9301746
450146354	42003	40.516959	-79.863316
450070053	42003	40.4802857	-80.1041844
450102513	42003	40.429871	-79.920355
450139639	42003	40.64174	-80.093871
450053814	42003	40.4431167	-79.9194907
450129442	42003	40.617342	-79.733686
450149323	42003	40.445147	-79.974462
450107375	42003	40.529878	-80.075854
450075546	42003	40.4514804	-79.9423784
450149290	42003	40.387589	-79.984315
450063645	42003	40.4489174	-79.9494021
450112699	42003	40.569444	-80.035415
450120173	42003	40.366067	-79.783871
450134115	42003	40.38896	-80.034458
450057650	42003	40.4059614	-79.8285159
450142450	42003	40.512505	-80.215362
450142471	42003	40.36897	-79.974495
450066968	23015	0.0000000	0.0000000
450149306	42003	40.423232	-79.923386
450086565	42003	40.412519	-79.901869
450075283	42003	40.5610988	-79.9732072
450073342	42003	40.4649073	-79.9387811
450102533	42003	40.447212	-79.90563
450102522	42003	40.445851	-79.916405
450057390	42003	40.4348789	-79.9249855
450149325	42003	40.460407	-79.900491
450119183	42003	40.56468	-79.903316
450087379	42003	40.345601	-79.84806
450119679	42003	40.371728	-79.847541
450131555	42003	40.451004	-80.128149
450149300	42003	40.456034	-80.026907
450048655	42003	40.3611479	-79.9716010
450067837	42003	40.3470745	-79.8181941
450149687	42003	40.608173	-79.939125
450075923	42003	40.4291750	-79.9305758
450124148	42003	40.586498	-80.094958
450149076	42003	40.655193	-80.010701
450102520	42003	40.454069	-80.053971
450152461	42003	40.526283	-79.844624
450117492	42003	40.645538	-79.848954
450066883	42003	40.3893406	-80.0284209
450149292	42003	40.452781	-79.893929
450114202	42003	40.379123	-80.110204
450066900	42003	40.5438872	-80.1895225
450102526	42003	40.427829	-79.979189
450150955	42003	40.407837	-79.748859
450065555	42007	40.6521226	-80.2259200
450132432	42003	40.523123	-79.968867
450129825	42003	40.479413	-79.707622
450104958	42003	40.35634	-80.016086
450121426	42003	40.256085	-79.854512
450102518	42003	40.451087	-80.049011
450134049	42003	40.513106	-79.917941
450143658	42003	40.305118	-80.022754
450150652	42003	40.561812	-80.203397
450146674	42003	40.456135	-79.887963
450149298	42003	40.454862	-80.005402
450048503	42003	40.4009185	-80.0638544
450074026	42003	40.4273067	-79.8560795
450130127	42003	40.375274	-80.068071
450068025	42003	40.5208721	-80.0291180
450119091	42003	40.421367	-80.232
450121197	42003	40.348236	-80.063222
450149347	42003	40.493835	-79.750633
450050861	42003	40.3960650	-80.0289484
450116529	42003	40.509326	-80.167803
450143347	42003	40.367544	-80.023636
450120055	42003	40.344999	-79.924253
450121425	42003	40.273544	-79.82696
450136842	42003	40.386423	-80.047727
450149294	42003	40.474547	-79.921758
450144841	42003	40.52379	-80.02957
450107620	42003	40.355898	-79.979719
450118168	42003	40.618295	-79.852952
450080446	42003	40.436055	-79.897123
450068185	42003	40.5327162	-79.9694840
450075140	42003	40.3197028	-80.0801995
450075142	42003	40.3237317	-79.9389070
450122911	42003	40.649134	-79.747526
450067630	42003	40.4008895	-80.0635655
450139597	42003	40.641729	-80.093503
450121683	42003	40.380318	-79.973882
450105076	42003	40.543439	-79.816197
450118169	42003	40.617336	-79.852868
450102515	42003	40.45517	-80.008561
450129269	42003	40.524525	-80.054055
450067678	42003	40.4383754	-79.9652998
450075532	42003	40.3341818	-79.9352835
